,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
188,-95.455,43.5,Iowa Lake Co Park,CP,nan,nan,120,1505.0,E DP SH NR,IA,4.0,N,Harris
344,-95.623,43.084,Primghar City Park,CP,nan,nan,15,1506.0,E DP FT DW SH,IA,0.3,SE,Primghar
363,-95.736,43.399,Robinson Park,CP,nan,restrooms may not be clean,13,1508.0,WE DP DW SH L$,IA,0.8,E,Sibley
775,-100.761,37.148,Arkalon Park,CP,nan,nan,100,2549.0,WE DP DW SH,KS,11.4,NE,Liberal
779,-101.042,39.818,Atwood Lions Club Park,CP,nan,nan,9,2838.0,E DP DW SH,KS,0.8,N,Atwood
780,-101.042,39.815,Atwood Lions Park,CP,nan,nan,nan,2835.0,E FT DW SH,KS,0.5,N,Atwood
784,-101.257,37.898,Beymer Water Recreation Park,CP,nan,nan,8,2999.0,WE FT DW L$,KS,2.9,S,Lakin
789,-100.0,38.069,Buckner Valley Park,CP,nan,nan,nan,2343.0,E DW,KS,5.9,W,Jetmore
791,-99.168,38.177,Camp Pawnee,CP,early apr-mid oct,nan,12,2024.0,E FT DW,KS,3.8,W,Larned
796,-99.732,38.808,Cedar Bluff State Park - North Shore,SP,all year,nan,254,2168.0,E DP SH RS,KS,12.9,SW,Ellis
797,-99.764,38.772,Cedar Bluff State Park - South Shore,SP,all year,nan,315,2194.0,RS,KS,9.1,N,Brownell
804,-101.894,37.119,Cimarron,NF,nan,nan,14,3389.0,NH ND NS NR,KS,7.7,N,Elkhart
816,-99.947,37.775,Dodge City Roadside Park,CP,nan,nan,5,2523.0,NH ND NS,KS,4.1,E,Dodge City
822,-98.589,38.361,Ellinwood City Park,CP,nan,nan,5,1788.0,E DP DW L$,KS,0.6,NW,Ellinwood
823,-99.558,38.94,Ellis Lakeside City Campground,CP,nan,nan,18,2116.0,WE DP DW SH,KS,0.2,NE,Ellis
830,-101.337,37.564,Frazier Park,CP,nan,nan,nan,2976.0,E DP FT DW,KS,1.5,SE,Ulysses
847,-97.991,38.667,Horsethief - Kanopolis State Park,SP,all year,nan,320,1581.0,E RS,KS,11.5,NW,Marquette
851,-99.958,38.052,Jetmore City Lake,CP,nan,nan,15,2340.0,E DP,KS,4.2,SW,Jetmore
852,-98.282,39.698,Jewell State Fishing Lake,SP,all year,primitive sites around lake,nan,1679.0,NH ND PT NS,KS,7.1,W,Jewell
856,-100.002,39.786,Keith Sebelius Lake RA,BOR,nan,nan,nan,2324.0,NH ND NS NR,KS,6.7,SW,Norton
860,-99.344,37.246,Lake Coldwater,CP,nan,nan,nan,2013.0,E DP DW SH,KS,1.9,SW,Coldwater
867,-99.579,39.628,Logan Lake City Park,CP,nan,nan,nan,2041.0,E,KS,2.4,S,Logan
872,-98.051,39.905,Lovewell State Park,SP,all year,nan,425,1598.0,E SH RS,KS,2.3,S,Webber
873,-98.503,38.969,Lucas - Wilson Reservoir,COE,all year,nan,100,1590.0,WE DP 60ft DW SH RS,KS,6.3,S,Lucas
874,-98.692,39.119,Luray North City Park,CP,nan,nan,nan,1587.0,E L$,KS,0.6,N,Luray
875,-98.21,38.34,Lyons City Campground,CP,nan,nan,25,1688.0,E DP FT DW SH N$,KS,0.6,SW,Lyons
876,-98.155,39.67,MAAG Memorial Park,CP,nan,RV parking,nan,1555.0,E DP DW SH L$,KS,0.1,SW,Jewell
886,-100.328,37.284,Meade City Park,CP,nan,nan,nan,2428.0,NH DP N$,KS,0.7,E,Meade
887,-100.438,37.164,Meade State Park,SP,all year,nan,190,2482.0,E RS,KS,10.0,SW,Meade
892,-98.59,38.936,Minooka - Wilson Reservoir,COE,all year,nan,220,1570.0,WE DP DW SH RS,KS,6.2,N,Dorrance
909,-99.335,39.755,Phillipsburg City Park,CP,nan,nan,nan,1870.0,E DP DW SH L$,KS,0.6,W,Phillipsburg
913,-99.951,39.807,Prairie Dog State Park,SP,all year,nan,190,2352.0,E DP DW SH RS,KS,3.7,SW,Norton
914,-100.452,37.596,Prairie Wind RV Park,CP,nan,nan,5,2779.0,WES DP NR,KS,0.5,W,Montezuma
915,-98.684,37.63,Pratt County Veterans Memorial Park,CP,nan,nan,17,1805.0,WE DP DW RS L$,KS,3.1,E,Pratt
930,-97.622,39.829,Rocky Pond City Park,CP,nan,nan,nan,1510.0,WE DW SH,KS,0.6,NE,Belleville
937,-100.495,39.839,Sappa Park,CP,all year,nan,5,2526.0,E NW,KS,2.3,NE,Oberlin
939,-100.918,38.668,Scott State Park,SP,all year,nan,150,2819.0,nan,KS,12.8,N,Scott City
942,-100.236,39.36,Sheridan State Fishing Lake,SP,all year,primitive sites near lake,nan,2538.0,NH ND VT NS,KS,11.0,E,Hoxie
944,-98.794,39.785,Smith Center Roadside Area,CP,nan,nan,nan,1785.0,NH ND NS N$,KS,0.6,NW,Smith Center
948,-101.8,39.767,St. Francis City Campground,CP,nan,nan,nan,3368.0,E DP SH,KS,0.5,S,St. Francis
949,-98.202,38.205,Sterling Lake Park,CP,nan,nan,14,1639.0,WES DP FT DW SH NR,KS,0.4,SE,Sterling
951,-99.28,39.435,Stockton City Park,CP,nan,nan,5,1759.0,WE DP FT DW SH RS,KS,0.8,W,Stockton
955,-101.759,37.961,Syracuse Sand Dunes,CP,nan,nan,nan,3225.0,WE NR,KS,1.4,S,Syracuse
965,-97.988,38.633,Venango - Kanapolis Reservoir,COE,early may-late dec,nan,nan,1501.0,WE DP 65ft FT DW SH RS PA,KS,9.9,NW,Marquette
971,-99.449,39.41,Webster State Park,SP,all year,nan,10,1929.0,WE ND DW NS RS,KS,10.0,W,Stockton
977,-98.495,38.909,Wilson State Park,SP,all year,nan,300,1581.0,E RS,KS,8.8,SW,Sylvan Grove
981,-98.588,38.354,Wolf Pond Park,CP,nan,nan,nan,1788.0,WE L$,KS,0.4,W,Ellinwood
983,-98.014,38.644,Yankee Run - Kanopolis Lake,COE,nan,unknown facilities,nan,1501.0,NH ND NS NR,KS,25.6,SW,Salina
1006,-88.59,46.129,Bates Township Park - Sunset Lake,CP,nan,nan,13,1583.0,NH ND DW SH L$,MI,3.6,NE,Iron River
1039,-89.673,46.359,Bobcat Lake,NF,nan,nan,12,1574.0,NH NR,MI,5.8,SW,Marenisco
1051,-89.053,46.314,Burned Dam,NF,all year,nan,5,1561.0,NH ND NS NR N$,MI,6.8,NE,Watersmeet
1091,-88.324,46.325,Deer Lake - State Forest,SF,all year,open all year but snow may block,12,1569.0,NH NR,MI,15.7,N,Crystal Falls
1104,-89.94,46.484,Eddy Park - Sunday Lake,CP,nan,nan,79,1525.0,WE DW SH L$,MI,0.6,N,Wakefield
1136,-88.883,46.172,Golden Lake,NF,nan,nan,22,1641.0,NH NR,MI,12.7,NW,Iron River
1159,-89.79,46.332,Henry Lake,NF,nan,nan,11,1600.0,NH NR,MI,11.6,SW,Marenisco
1180,-89.071,46.218,Imp Lake,NF,nan,nan,22,1708.0,NH NR,MI,6.2,SE,Watersmeet
1196,-88.402,46.531,King Lake - Copper County State Forest,SF,all year,open all year but snow may block,6,1662.0,NH NR,MI,6.5,E,Covington
1214,-90.16,46.149,Lake of the Falls County Park,CP,nan,nan,35,1578.0,E DW,MI,4.8,W,Mercer
1215,-88.76,46.081,Lake Ottawa,NF,nan,nan,32,1551.0,NH DP NR,MI,5.7,W,Iron River
1216,-88.723,46.393,Lake Ste. Kathryn,NF,nan,nan,24,1562.0,NH NR,MI,15.1,SE,Trout Creek
1219,-89.493,46.272,Langford Lake,NF,nan,nan,11,1673.0,NH NR,MI,15.0,W,Watersmeet
1248,-89.093,46.268,Marion Lake 1,NF,nan,nan,9,1634.0,NH ND NS NR,MI,4.1,E,Watersmeet
1249,-89.083,46.267,Marion Lake 2,NF,nan,nan,30,1654.0,NH NR,MI,4.6,E,Watersmeet
1274,-88.073,46.458,Moose Rapids Township,CP,nan,rustic,nan,1528.0,NH ND PT NW NS NR,MI,5.8,NW,North Republic
1275,-89.604,46.242,Moosehead Lake,NF,nan,nan,13,1685.0,NH NR,MI,11.1,S,Marenisco
1293,-88.682,46.416,Norway Lake,NF,nan,nan,25,1525.0,NH ND VT DW NS NR,MI,6.3,S,Sidnaw
1318,-88.674,46.364,Perch Lake,NF,nan,nan,24,1556.0,NH NR,MI,12.4,S,Watton
1346,-89.574,46.282,Pomeroy Lake,NF,nan,nan,17,1631.0,NH NR,MI,18.9,W,Watersmeet
1415,-89.322,46.24,Sylvania - Clark Lake,NF,nan,nan,48,1829.0,NH DP DW SH NR,MI,7.1,W,Watersmeet
1420,-88.875,46.389,Tepee Lake,nan,nan,nan,nan,1608.0,nan,MI,9.2,SE,Trout Creek
1443,-87.989,46.526,Van Riper State Park,SP,mid apr-late oct,nan,145,1581.0,E DP DW SH RS,MI,1.5,NW,Champion
1473,-95.94,43.64,Adrian City Park,CP,mid may-mid oct,nan,100,1516.0,E DP 40ft SH,MN,0.5,NW,Adrian
1491,-90.818,47.845,Baker Lake,NF,nan,nan,5,1751.0,NH ND VT NW NS NR N$,MN,18.7,N,Tofte
1498,-92.085,47.792,Bear Head Lake State Park,SP,all year,nan,75,1522.0,E DP DW SH RS,MN,12.7,SW,Ely
1513,-96.192,43.717,Blue Mounds State Park,SP,all year,nan,75,1557.0,E DP 40ft DW SH RS,MN,4.3,N,Luverne
1519,-92.781,47.489,Buhl RV Park,CP,nan,tight narrow road,10,1521.0,NH,MN,0.3,SW,Buhl
1524,-91.917,47.379,Cadotte Lake,NF,early may-mid nov,nan,27,1631.0,NH ND NS RS,MN,14.2,SE,Hoyt Lakes
1525,-95.918,44.354,Camden State Park,SP,all year,nan,80,1512.0,E DP DW SH RS,MN,2.6,SW,Lynd
1531,-90.531,47.833,Cascade River State Park,SP,all year,nan,4,1634.0,E DP VT NW SH RS N$,MN,14.5,NE,Lutsen
1549,-90.772,47.825,Crescent Lake,NF,early may-late oct,nan,34,1781.0,NH ND NS RS PA,MN,17.6,N,Tofte
1556,-96.394,43.849,DeBates Memorial Park,CP,nan,nan,5,1598.0,E L$,MN,0.2,E,Jasper
1560,-90.463,47.829,Devil Track Lake,NF,nan,nan,16,1640.0,NH ND NS NR,MN,8.1,NW,Grand Marais
1561,-90.091,48.003,Devilfish Lake - Grand Portage State Forest,SF,nan,primitive - open all year but snow may block,5,1893.0,NH ND VT DW NS NR L$,MN,20.8,NE,Grand Marais
1565,-90.394,48.037,East Bearskin Lake,NF,early may-late oct,nan,33,1739.0,NH ND NS RS PA,MN,20.0,N,Grand Marais
1580,-90.408,48.053,Flour Lake,NF,early may-mid oct,nan,37,1778.0,NH ND NS RS,MN,21.2,N,Grand Marais
