,num_sites,elevation,nearest_town_distance,clusters
0,12,1569.0,15.7,2
1,6,1662.0,6.5,2
2,12,2203.0,0.3,2
3,121,1869.0,4.8,2
4,8,1926.0,0.4,2
5,7,1756.0,0.2,2
6,5,1683.0,0.4,2
7,13,1581.0,0.5,2
8,30,2546.0,0.0,2
9,30,2494.0,0.9,2
10,8,2039.0,0.2,2
11,5,1729.0,3.0,2
12,20,4606.0,1.1,0
13,30,1798.0,3.9,2
14,10,1523.0,19.5,2
15,10,1722.0,1.9,2
16,35,1732.0,7.1,2
17,90,1585.0,13.3,2
18,20,2834.0,2.2,2
19,13,2126.0,1.1,2
20,10,1650.0,4.7,2
21,45,1614.0,12.8,2
22,15,1551.0,4.0,2
23,38,1791.0,2.3,2
24,80,1523.0,11.0,2
25,51,7933.0,0.2,1
26,70,2070.0,5.2,2
27,25,7657.0,6.4,3
28,46,6962.0,15.6,3
29,65,3123.0,5.2,2
30,10,6524.0,15.7,3
31,44,6558.0,1.2,3
32,350,8632.0,8.4,1
33,150,8632.0,5.1,1
34,25,8789.0,5.4,1
35,9,10066.0,36.5,1
36,4,9682.0,9.9,1
37,60,4790.0,4.8,0
38,250,4455.0,4.0,0
39,90,9308.0,3.6,1
40,120,6115.0,1.7,3
41,9,11473.0,18.5,1
42,141,4091.0,12.1,0
43,22,6624.0,11.2,3
44,10,7998.0,9.2,1
45,283,7047.0,4.3,3
46,146,5974.0,7.0,3
47,4,8460.0,4.2,1
48,87,4846.0,4.7,0
49,100,7339.0,4.9,3
50,178,8107.0,7.9,1
51,44,8556.0,16.3,1
52,26,9900.0,26.0,1
53,21,6404.0,3.3,3
54,36,8377.0,6.3,1
55,4,7300.0,21.9,3
56,9,9160.0,6.2,1
57,4,9865.0,7.9,1
58,64,7776.0,3.5,3
59,132,4508.0,4.4,0
60,15,5267.0,0.2,0
61,11,6925.0,14.2,3
62,12,4797.0,2.1,0
63,21,8848.0,1.4,1
64,65,4327.0,13.1,0
65,7,5126.0,18.6,0
66,9,8015.0,23.9,1
67,4,8740.0,7.8,1
68,35,7306.0,11.1,3
69,15,3389.0,5.1,2
70,71,3717.0,11.8,0
71,45,4091.0,21.8,0
72,10,7600.0,28.1,3
73,73,2310.0,8.8,2
74,29,7362.0,4.9,3
75,75,5584.0,4.8,0
76,71,5459.0,9.3,0
77,46,9406.0,22.1,1
78,75,5922.0,1.7,3
79,19,8406.0,14.6,1
80,35,7280.0,8.8,3
81,86,6066.0,4.8,3
82,22,4318.0,3.6,0
83,16,6053.0,13.6,3
84,54,5778.0,3.2,0
85,300,7648.0,25.8,3
86,101,8041.0,0.6,1
87,11,7435.0,7.9,3
88,139,6017.0,6.8,3
89,10,9282.0,7.5,1
90,13,5064.0,12.2,0
91,34,7493.0,6.0,3
92,11,4918.0,7.7,0
93,4,1600.0,14.9,2
94,100,6604.0,5.8,3
95,10,2100.0,25.0,2
96,30,4902.0,12.7,0
97,20,4941.0,20.2,0
98,19,5259.0,28.7,0
99,84,1644.0,8.3,2
100,85,5000.0,8.4,0
101,25,5095.0,2.9,0
102,64,5548.0,4.8,0
103,5,3789.0,35.0,0
104,25,6342.0,16.2,3
105,39,4938.0,9.2,0
106,8,6913.0,11.7,3
107,10,3182.0,31.9,2
108,37,1808.0,22.2,2
109,19,6926.0,5.4,3
110,11,3694.0,18.2,0
111,5,2782.0,24.3,2
112,10,2421.0,0.4,2
113,12,4324.0,22.5,0
114,56,4098.0,19.5,0
115,36,3176.0,0.6,2
116,55,4993.0,1.7,0
117,12,4557.0,15.2,0
118,28,4734.0,26.0,0
119,10,1581.0,5.2,2
120,45,5240.0,26.3,0
121,16,2951.0,7.2,2
122,9,6305.0,32.6,3
123,12,2352.0,17.4,2
124,11,1598.0,15.3,2
125,200,1962.0,15.2,2
126,19,4580.0,6.1,0
127,30,4900.0,19.3,0
128,280,4928.0,11.9,0
129,99,5459.0,9.4,0
130,20,6490.0,22.3,3
131,175,6814.0,19.7,3
132,300,4685.0,1.5,0
133,51,6896.0,14.5,3
134,140,4639.0,3.9,0
135,17,8458.0,13.2,1
136,49,6814.0,6.8,3
137,170,4114.0,11.8,0
138,7,6850.0,8.3,3
139,95,6421.0,27.4,3
140,30,2106.0,7.3,2
141,43,5318.0,11.7,0
142,12,1708.0,33.2,2
143,38,2748.0,9.5,2
144,9,6258.0,19.4,3
145,238,1764.0,10.0,2
146,68,2505.0,7.3,2
147,34,3314.0,0.2,2
148,15,4500.0,10.1,0
149,20,4527.0,28.5,0
