,Unnamed: 0,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
51,1091,-88.324,46.325,Deer Lake - State Forest,SF,all year,open all year but snow may block,12,1569.0,NH NR,MI,15.7,N,Crystal Falls
56,1196,-88.402,46.531,King Lake - Copper County State Forest,SF,all year,open all year but snow may block,6,1662.0,NH NR,MI,6.5,E,Covington
163,2119,-103.363,48.279,Epping RV Park,CP,early may-mid oct,may be full - check,12,2203.0,WES DP,ND,0.3,W,Epping
261,2261,-101.327,47.615,Sportsmens Centennial Park,CP,early may-late sep,swim,121,1869.0,E FT DW SH,ND,4.8,SE,Garrison
335,2374,-98.077,41.987,Elgin City Park,CP,early may-mid oct,swim,8,1926.0,WES DP FT DW SH L$,NE,0.4,NE,Elgin
346,2388,-97.544,42.502,Gladstone City Park,CP,mid apr-late sep,swim,7,1756.0,E DP FT DW L$,NE,0.2,NW,Wausa
353,2396,-98.069,40.196,Harbine Park,CP,all year,swim,5,1683.0,WES DP FT DW L$,NE,0.4,S,Nelson
386,2448,-97.456,41.835,Memorial City Park - Madison,CP,all year,swim,13,1581.0,WES DP FT DW SH L$,NE,0.5,N,Madison
392,2457,-99.923,41.292,Morgan Municipal Park,CP,all year,swim,30,2546.0,E FT DW SH L$,NE,0.0,N,Callaway
394,2459,-99.998,40.866,Muny Park,CP,all year,swim,30,2494.0,WE DP FT DW L$,NE,0.9,NW,Cozad
406,2480,-99.453,40.134,Orleans City RV Park,CP,all year,swim,8,2039.0,WES DP DW,NE,0.2,NE,Orleans
444,2540,-98.057,41.031,Tooley Park,CP,all year,unknown facilities - tent only,5,1729.0,NH ND NS,NE,3.0,NW,Marquette
501,2741,-103.435,43.884,Grizzly Creek Primative,NF,mid may-late aug,no towed vehicles - one 28 foot vehicle per site,20,4606.0,NH VT DW RS NP,SD,1.1,SW,Keystone
591,3082,-89.687,44.921,Rib Mountain State Park,SP,all year,closed for 2010 season,30,1798.0,E DW SH RS PA,WI,3.9,SW,Wausau
